date,platform,sum
2015-05-03,ios-app,3011712.00000
2015-06-03,ios-app,3138093.00000
2014-10-20,ios-app,2454924.00000
2015-09-24,android-app,2121473.00000
2015-09-19,ios-app,3156669.00000
2014-06-20,android-app,1356742.00000
2014-12-15,ios-app,3795131.00000
2015-07-04,android-app,2155214.00000
2014-07-23,ios-app,2445050.00000
2015-04-21,ios-app,3176944.00000
2015-05-24,android-app,2245062.00000
2015-07-10,ios-app,2943208.00000
2015-01-03,ios-app,3991938.00000
2015-04-03,android-app,2367100.00000
2015-05-10,android-app,2284679.00000
2014-10-15,android-app,1737701.00000
2015-07-09,android-app,2143517.00000
2015-08-24,ios-app,3108690.00000
2015-04-20,android-app,2349472.00000
2015-07-31,android-app,2074292.00000
2014-08-17,android-app,1476951.00000
2014-07-26,ios-app,2446904.00000
2015-06-14,ios-app,3032783.00000
2014-06-21,android-app,1359456.00000
2015-08-01,android-app,2046026.00000
2015-04-08,ios-app,3160388.00000
2014-12-28,ios-app,3955228.00000
2015-03-16,ios-app,2990774.00000
2014-08-13,ios-app,2443207.00000
2015-08-24,android-app,2099458.00000
2015-02-08,ios-app,3013558.00000
2015-08-11,android-app,2040327.00000
2014-07-20,ios-app,2426242.00000
2014-07-10,ios-app,2442889.00000
2015-02-02,android-app,2622965.00000
2015-07-17,ios-app,2964506.00000
2015-02-21,android-app,2478284.00000
2015-06-16,android-app,2222684.00000
2014-11-12,ios-app,2542757.00000
2015-04-21,android-app,2343869.00000
2015-08-06,ios-app,2983136.00000
2015-04-24,ios-app,3132286.00000
2015-06-08,ios-app,3047637.00000
2015-10-01,android-app,2126395.00000
2015-06-04,android-app,2240210.00000
2015-05-23,ios-app,3151770.00000
2015-01-10,android-app,3112257.00000
2015-01-18,android-app,2980742.00000
2015-04-25,android-app,2331310.00000
2015-05-19,ios-app,3139939.00000
2014-09-30,android-app,1619134.00000
2015-02-04,android-app,2582260.00000
2015-06-25,ios-app,2976706.00000
2015-05-22,android-app,2252275.00000
2015-08-05,android-app,2051935.00000
2014-08-06,android-app,1461378.00000
2014-12-04,ios-app,3470860.00000
2015-06-12,ios-app,3036709.00000
2015-03-15,ios-app,2979155.00000
2014-07-23,android-app,1416944.00000
2015-03-13,ios-app,2961132.00000
2014-07-24,android-app,1420806.00000
2014-10-02,android-app,1637493.00000
2015-02-11,android-app,2539268.00000
2014-09-25,ios-app,2475788.00000
2014-09-18,ios-app,2425417.00000
2015-02-15,android-app,2514720.00000
2015-01-01,ios-app,3983498.00000
2015-01-12,ios-app,3837663.00000
2014-10-05,ios-app,2490075.00000
2014-10-04,android-app,1634337.00000
2015-04-19,ios-app,3178132.00000
2015-05-20,android-app,2254197.00000
2015-03-20,android-app,2393309.00000
2015-07-07,android-app,2134785.00000
2015-09-05,android-app,2143140.00000
2014-07-07,android-app,1382999.00000
